sa94-305       sa94-305.dat    sa94-305_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa94-308       sa94-308.dat    sa94-308_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa94-342       sa94-342.dat    sa94-342_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa95-132       sa95-132.dat    sa95-132_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa95-206       sa95-206.dat    sa95-206_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa95-52        sa95-52.dat     sa95-52_mags.dat     Stritzinger et al. (2005) PASP 117 810S
sa95-96        sa95-96.dat     sa95-96_mags.dat     Stritzinger et al. (2005) PASP 117 810S
sa96-180       sa96-180.dat    sa96-180_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa96-235       sa96-235.dat    sa96-235_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa96-36        sa96-36.dat     sa96-36_mags.dat     Stritzinger et al. (2005) PASP 117 810S
sa96-393       sa96-393.dat    sa96-393_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa96-406       sa96-406.dat    sa96-406_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa96-737       sa96-737.dat    sa96-737_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa97-249       sa97-249.dat    sa97-249_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa97-346       sa97-346.dat    sa97-346_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa97-351       sa97-351.dat    sa97-351_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa98-193       sa98-193.dat    sa98-193_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa98-320       sa98-320.dat    sa98-320_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa98-653       sa98-653.dat    sa98-653_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa98-667       sa98-667.dat    sa98-667_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa98-978       sa98-978.dat    sa98-978_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-185       sa99-185.dat    sa99-185_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-296       sa99-296.dat    sa99-296_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-358       sa99-358.dat    sa99-358_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-408       sa99-408.dat    sa99-408_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-418       sa99-418.dat    sa99-418_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-438       sa99-438.dat    sa99-438_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-447       sa99-447.dat    sa99-447_mags.dat    Stritzinger et al. (2005) PASP 117 810S
sa99-6         sa99-6.dat      sa99-6_mags.dat      Stritzinger et al. (2005) PASP 117 810S
