# Natural system
SN2005ke ; V ; 0.00488 ; 1.734 ; 698.78 ; 14.188 ; templates/SN2005ke_V.dat
SN2005ke ; g ; 0.00488 ; 1.734 ; 698.78 ; 14.502 ; templates/SN2005ke_g.dat
SN2005ke ; r ; 0.00488 ; 1.734 ; 698.78 ; 14.084 ; templates/SN2005ke_r.dat
SN2005ke ; i ; 0.00488 ; 1.734 ; 698.78 ; 14.332 ; templates/SN2005ke_i.dat
SN2005ke ; Y ; 0.00488 ; 1.734 ; 698.78 ; 14.036 ; templates/SN2005ke_Y.dat
SN2005ke ; J ; 0.00488 ; 1.734 ; 698.78 ; 13.994 ; templates/SN2005ke_J.dat
SN2005ke ; H ; 0.00488 ; 1.734 ; 698.78 ; 13.947 ; templates/SN2005ke_H.dat
SN2005ki ; u ; 0.01959 ; 1.367 ; 706.07 ; 16.052 ; templates/SN2005ki_u.dat
SN2005ki ; B ; 0.01959 ; 1.367 ; 706.07 ; 15.672 ; templates/SN2005ki_B.dat
SN2005ki ; V ; 0.01959 ; 1.367 ; 706.07 ; 15.657 ; templates/SN2005ki_V.dat
SN2005ki ; g ; 0.01959 ; 1.367 ; 706.07 ; 15.630 ; templates/SN2005ki_g.dat
SN2005ki ; r ; 0.01959 ; 1.367 ; 706.07 ; 15.750 ; templates/SN2005ki_r.dat
SN2005ki ; i ; 0.01959 ; 1.367 ; 706.07 ; 16.289 ; templates/SN2005ki_i.dat
SN2005ki ; Y ; 0.01959 ; 1.367 ; 706.07 ; 16.203 ; templates/SN2005ki_Y.dat
SN2005ki ; J ; 0.01959 ; 1.367 ; 706.07 ; 16.132 ; templates/SN2005ki_J.dat
SN2005ki ; H ; 0.01959 ; 1.367 ; 706.07 ; 16.264 ; templates/SN2005ki_H.dat
SN2005na ; B ; 0.02630 ; 0.946 ; 740.20 ; 16.294 ; templates/SN2005na_B.dat
SN2005na ; V ; 0.02630 ; 0.946 ; 740.20 ; 16.256 ; templates/SN2005na_V.dat
SN2005na ; g ; 0.02630 ; 0.946 ; 740.20 ; 16.234 ; templates/SN2005na_g.dat
SN2005na ; r ; 0.02630 ; 0.946 ; 740.20 ; 16.310 ; templates/SN2005na_r.dat
SN2006bh ; u ; 0.01084 ; 1.425 ; 833.92 ; 14.861 ; templates/SN2006bh_u.dat
SN2006bh ; B ; 0.01084 ; 1.425 ; 833.92 ; 14.454 ; templates/SN2006bh_B.dat
SN2006bh ; V ; 0.01084 ; 1.425 ; 833.92 ; 14.463 ; templates/SN2006bh_V.dat
SN2006bh ; g ; 0.01084 ; 1.425 ; 833.92 ; 14.419 ; templates/SN2006bh_g.dat
SN2006bh ; r ; 0.01084 ; 1.425 ; 833.92 ; 14.495 ; templates/SN2006bh_r.dat
SN2006bh ; i ; 0.01084 ; 1.425 ; 833.92 ; 14.980 ; templates/SN2006bh_i.dat
SN2006bh ; Y ; 0.01084 ; 1.374 ; 833.55 ; 14.967 ; templates/SN2006bh_Y.dat
SN2006bh ; J ; 0.01084 ; 1.374 ; 833.55 ; 14.947 ; templates/SN2006bh_J.dat
SN2006bh ; H ; 0.01084 ; 1.374 ; 833.55 ; 15.156 ; templates/SN2006bh_H.dat
SN2006mr ; u ; 0.00587 ; 1.94 ; 1050.62 ; 16.559 ; templates/SN2006mr_u.dat
SN2006mr ; B ; 0.00587 ; 1.94 ; 1050.62 ; 15.424 ; templates/SN2006mr_B.dat
SN2006mr ; V ; 0.00587 ; 1.94 ; 1050.62 ; 14.714 ; templates/SN2006mr_V.dat
SN2006mr ; g ; 0.00587 ; 1.94 ; 1050.62 ; 15.063 ; templates/SN2006mr_g.dat
SN2006mr ; r ; 0.00587 ; 1.94 ; 1050.62 ; 14.397 ; templates/SN2006mr_r.dat
SN2006mr ; i ; 0.00587 ; 1.94 ; 1050.62 ; 14.499 ; templates/SN2006mr_i.dat
SN2006mr ; Y ; 0.00587 ; 1.94 ; 1050.62 ; 13.986 ; templates/SN2006mr_Y.dat
SN2006mr ; J ; 0.00587 ; 1.94 ; 1050.62 ; 13.994 ; templates/SN2006mr_J.dat
SN2006mr ; H ; 0.00587 ; 1.94 ; 1050.62 ; 13.862 ; templates/SN2006mr_H.dat
SN2006X  ; Y ; 0.00524 ; 1.09 ; 786.08  ; 13.146 ; templates/SN2006X_Y.dat
SN2006X  ; J ; 0.00524 ; 1.09 ; 786.08  ; 12.880 ; templates/SN2006X_J.dat
SN2006X  ; H ; 0.00524 ; 1.09 ; 786.08  ; 12.991 ; templates/SN2006X_H.dat
SN2006D ; B ; 0.00852 ; 1.380 ; 757.75 ; 14.325 ; templates/SN2006D_B.dat
SN2006D ; V ; 0.00852 ; 1.380 ; 757.75 ; 14.177 ; templates/SN2006D_V.dat
SN2006D ; g ; 0.00852 ; 1.380 ; 757.75 ; 14.225 ; templates/SN2006D_g.dat
SN2006D ; r ; 0.00852 ; 1.380 ; 757.75 ; 14.174 ; templates/SN2006D_r.dat
SN2006D ; i ; 0.00852 ; 1.380 ; 757.75 ; 14.588 ; templates/SN2006D_i.dat
SN2006D ; Y ; 0.00852 ; 1.380 ; 757.75 ; 14.754 ; templates/SN2006D_Y.dat
SN2006D ; J ; 0.00852 ; 1.380 ; 757.75 ; 14.379 ; templates/SN2006D_J.dat
SN2006D ; H ; 0.00852 ; 1.380 ; 757.75 ; 14.500 ; templates/SN2006D_H.dat
SN2006et ; u ; 0.02216 ; 0.850 ; 993.55 ; 16.549 ; templates/SN2006et_u.dat
SN2006et ; B ; 0.02216 ; 0.850 ; 993.55 ; 16.049 ; templates/SN2006et_B.dat
SN2006et ; V ; 0.02216 ; 0.850 ; 993.55 ; 15.842 ; templates/SN2006et_V.dat
SN2006et ; g ; 0.02216 ; 0.850 ; 993.55 ; 15.928 ; templates/SN2006et_g.dat
SN2006et ; r ; 0.02216 ; 0.850 ; 993.55 ; 15.872 ; templates/SN2006et_r.dat
SN2006et ; i ; 0.02216 ; 0.850 ; 993.55 ; 16.371 ; templates/SN2006et_i.dat
SN2006et ; Y ; 0.02216 ; 0.850 ; 993.55 ; 16.334 ; templates/SN2006et_Y.dat
SN2006et ; J ; 0.02216 ; 0.850 ; 993.55 ; 16.050 ; templates/SN2006et_J.dat
SN2006et ; H ; 0.02216 ; 0.850 ; 993.55 ; 16.285 ; templates/SN2006et_H.dat
SN2006ax ; u ; 0.01673 ; 1.000 ; 827.53 ; 15.547 ; templates/SN2006ax_u.dat
SN2006ax ; B ; 0.01673 ; 1.000 ; 827.53 ; 15.201 ; templates/SN2006ax_B.dat
SN2006ax ; V ; 0.01673 ; 1.000 ; 827.53 ; 15.203 ; templates/SN2006ax_V.dat
SN2006ax ; g ; 0.01673 ; 1.000 ; 827.53 ; 15.148 ; templates/SN2006ax_g.dat
SN2006ax ; r ; 0.01673 ; 1.000 ; 827.53 ; 15.313 ; templates/SN2006ax_r.dat
SN2006ax ; i ; 0.01673 ; 1.000 ; 827.53 ; 15.827 ; templates/SN2006ax_i.dat
SN2006ax ; Y ; 0.01673 ; 1.000 ; 827.53 ; 15.847 ; templates/SN2006ax_Y.dat
SN2006ax ; J ; 0.01673 ; 1.000 ; 827.53 ; 15.733 ; templates/SN2006ax_J.dat
SN2006ax ; H ; 0.01673 ; 1.000 ; 827.53 ; 15.922 ; templates/SN2006ax_H.dat
SN2007af ; u ; 0.00546 ; 1.20 ; 1174.78 ; 13.926 ; templates/SN2007af_u.dat
SN2007af ; B ; 0.00546 ; 1.20 ; 1174.78 ; 13.434 ; templates/SN2007af_B.dat
SN2007af ; V ; 0.00546 ; 1.20 ; 1174.78 ; 13.241 ; templates/SN2007af_V.dat
SN2007af ; g ; 0.00546 ; 1.20 ; 1174.78 ; 13.197 ; templates/SN2007af_g.dat
SN2007af ; r ; 0.00546 ; 1.20 ; 1174.78 ; 13.211 ; templates/SN2007af_r.dat
SN2007af ; i ; 0.00546 ; 1.20 ; 1174.78 ; 13.740 ; templates/SN2007af_i.dat
SN2007af ; Y ; 0.00546 ; 1.20 ; 1174.78 ; 13.582 ; templates/SN2007af_Y.dat
SN2007af ; J ; 0.00546 ; 1.20 ; 1174.78 ; 13.469 ; templates/SN2007af_J.dat
SN2007af ; H ; 0.00546 ; 1.20 ; 1174.78 ; 13.623 ; templates/SN2007af_H.dat
